Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,12.46875,12.625,12.3125,12.5,4.298950672149658,5326000
1990-01-03,12.46875,12.5,12.28125,12.375,4.255962371826172,4980400
1990-01-04,12.34375,12.40625,12.125,12.25,4.212970733642578,6013200
1990-01-05,12.25,12.3125,12.09375,12.1875,4.191476821899414,3854800
1990-01-08,12.1875,12.4375,12.15625,12.375,4.255962371826172,4302000
1990-01-09,12.375,12.40625,12.125,12.125,4.169984817504883,3485600
1990-01-10,12.125,12.21875,12.0625,12.1875,4.191476821899414,4522400
1990-01-11,12.28125,12.34375,12.21875,12.25,4.212970733642578,3047600
1990-01-12,12.0625,12.15625,11.90625,11.9375,4.105499744415283,4554400
1990-01-15,11.90625,12.125,11.84375,12.09375,4.15923547744751,3692800
1990-01-16,11.9375,12.0625,11.875,12.03125,4.137742042541504,4857200
1990-01-17,12.0625,12.09375,11.75,11.84375,4.073256969451904,4110800
1990-01-18,11.75,12.0,11.75,12.0,4.126993179321289,5460800
1990-01-19,12.03125,12.21875,12.0,12.15625,4.180732727050781,7506400
1990-01-22,12.15625,12.25,11.71875,11.75,4.041015625,4272800
1990-01-23,11.78125,12.03125,11.71875,11.78125,4.051759243011475,5108400
1990-01-24,11.5625,11.84375,11.5,11.75,4.041015625,4892000
1990-01-25,11.8125,11.84375,11.40625,11.5,3.955035924911499,5222400
1990-01-26,11.5,11.71875,11.4375,11.6875,4.019521236419678,5223600
1990-01-29,11.75,11.84375,11.46875,11.75,4.041015625,5181200
1990-01-30,11.75,11.84375,11.59375,11.75,4.041015625,5415600
1990-01-31,11.75,11.8125,11.6875,11.75,4.041015625,5377200
1990-02-01,11.8125,11.84375,11.75,11.75,4.041015625,2903200
1990-02-02,11.78125,11.96875,11.75,11.96875,4.116247653961182,4246400
1990-02-05,12.0,12.09375,11.96875,12.0,4.126993179321289,5880400
1990-02-06,11.84375,11.875,11.5625,11.8125,4.113933563232422,4739600
1990-02-07,11.75,12.0,11.6875,12.0,4.179233074188232,4108800
1990-02-08,12.0625,12.25,11.9375,12.03125,4.190118789672852,5632800
1990-02-09,12.0625,12.15625,11.9375,12.0625,4.200999736785889,3376000
